date,name,team,average,strike_rate,economy,wickets
16-10-2023,DM de Silva,Sri Lanka,0,0,9.18,0
17-10-2023,L Ngidi,South Africa,36,49.5,4.344489796,2
17-10-2023,M Jansen,South Africa,37,27.25,8.01552795,2
17-10-2023,K Rabada,South Africa,18.41666667,20.83333333,5.1,2
17-10-2023,G Coetzee,South Africa,22.66666667,18.33333333,7.418181818,1
17-10-2023,KA Maharaj,South Africa,23,31,4.451612903,1
17-10-2023,A Dutt,Netherlands,39.5,46.25,5.371760973,0
17-10-2023,LV van Beek,Netherlands,30,37,4.864864865,3
17-10-2023,CN Ackermann,Netherlands,13,16,5.9375,1
17-10-2023,PA van Meekeren,Netherlands,35.5,32.25,6.625061425,2
17-10-2023,RE van der Merwe,Netherlands,14,13.5,6.03003003,2
17-10-2023,BFW de Leede,Netherlands,39.75,37.625,6.410698878,2
18-10-2023,Mujeeb Ur Rahman,Afghanistan,5.666666667,6.777777778,5.705744593,1
18-10-2023,Fazalhaq Farooqi,Afghanistan,23.33333333,25.33333333,6.225429975,0
18-10-2023,Naveen-ul-Haq,Afghanistan,36.66666667,36.33333333,6.65015015,2
18-10-2023,Mohammad Nabi,Afghanistan,2.666666667,6.166666667,4.504504505,0
18-10-2023,Rashid Khan,Afghanistan,13.77777778,14.5,5.443370331,1
18-10-2023,Azmatullah Omarzai,Afghanistan,9,12,6.386666667,2
18-10-2023,TA Boult,New Zealand,35,47,4.445396562,2
18-10-2023,MJ Henry,New Zealand,19.44444444,22.5,5.070266795,1
18-10-2023,MJ Santner,New Zealand,20.43333333,34.16666667,4.213114754,3
18-10-2023,LH Ferguson,New Zealand,8.166666667,10.66666667,4.359375,3
18-10-2023,GD Phillips,New Zealand,10,10.33333333,5.722222222,0
18-10-2023,R Ravindra,New Zealand,61,60.5,5.803434817,1
19-10-2023,JJ Bumrah,India,12.66666667,23.08333333,3.325073828,2
19-10-2023,Mohammed Siraj,India,26,35.33333333,6.271322986,2
19-10-2023,HH Pandya,India,22.5,19.33333333,7.045454545,0
19-10-2023,V Kohli,India,0,0,0,0
19-10-2023,SN Thakur,India,31,38,5.447368421,1
19-10-2023,Kuldeep Yadav,India,26.16666667,40,3.9,1
19-10-2023,RA Jadeja,India,13.66666667,23.16666667,3.939156001,2
19-10-2023,Shoriful Islam,Bangladesh,21.16666667,20.16666667,5.911803279,0
19-10-2023,Mustafizur Rahman,Bangladesh,24.66666667,36.5,5.078431373,0
19-10-2023,Nasum Ahmed,Bangladesh,0,0,0,0
19-10-2023,Hasan Mahmud,Bangladesh,0,0,0,1
19-10-2023,Mehedi Hasan Miraz,Bangladesh,8.333333333,18.33333333,6.073737374,2
19-10-2023,Mahmudullah,Bangladesh,0,0,7,0
20-10-2023,Shaheen Shah Afridi,Pakistan,40.83333333,40.16666667,5.992163009,5
20-10-2023,Hasan Ali,Pakistan,22.83333333,25,5.573671498,0
20-10-2023,Iftikhar Ahmed,Pakistan,16,18,5.306666667,0
20-10-2023,Haris Rauf,Pakistan,23.16666667,24.58333333,6.02296383,3
20-10-2023,Usama Mir,Pakistan,0,0,0,1
20-10-2023,Mohammad Nawaz,Pakistan,39.75,37.5,5.689698101,0
20-10-2023,MA Starc,Australia,24.44444444,33.27777778,4.562288324,1
20-10-2023,JR Hazlewood,Australia,38.33333333,37.66666667,5.348362449,1
20-10-2023,PJ Cummins,Australia,29,25.16666667,5.818001723,2
20-10-2023,A Zampa,Australia,27.25,24.5,6.383415301,4
20-10-2023,GJ Maxwell,Australia,18.16666667,29.66666667,3.779894327,0
20-10-2023,MP Stoinis,Australia,0,0,6,2
21-10-2023,D Madushanka,Sri Lanka,28.55555556,26.61111111,6.103216487,5
21-10-2023,CAK Rajitha,Sri Lanka,90,62,8.709677419,4
21-10-2023,C Karunaratne,Sri Lanka,0,0,4.5,0
21-10-2023,M Theekshana,Sri Lanka,54,51.5,6.401639344,1
21-10-2023,MADI Hemantha,Sri Lanka,0,0,0,0
21-10-2023,DM de Silva,Sri Lanka,0,0,7.564444444,0
21-10-2023,A Dutt,Netherlands,39.5,46.25,4.847840649,3
21-10-2023,LV van Beek,Netherlands,25.16666667,27.66666667,5.75970516,0
21-10-2023,PA van Meekeren,Netherlands,30.5,30.5,5.935226135,1
21-10-2023,BFW de Leede,Netherlands,32.5,33.75,5.658414637,0
21-10-2023,RE van der Merwe,Netherlands,15,18,5.279279279,0
21-10-2023,CN Ackermann,Netherlands,14,16.66666667,5.736111111,1
21-10-2023,RJW Topley,England,18.875,21.75,5.039473684,3
21-10-2023,DJ Willey,England,0,0,0,0
21-10-2023,JE Root,England,19,24,4.75,0
21-10-2023,AAP Atkinson,England,0,0,0,2
21-10-2023,MA Wood,England,18,29.33333333,6.351058621,0
21-10-2023,AU Rashid,England,17.5,25.08333333,5.062763466,2
21-10-2023,L Ngidi,South Africa,34.33333333,43.16666667,4.929113416,2
21-10-2023,M Jansen,South Africa,29.5,27.16666667,6.417759374,2
21-10-2023,K Rabada,South Africa,21.61111111,23.38888889,5.364912281,1
21-10-2023,G Coetzee,South Africa,41.33333333,34.16666667,7.309090909,3
21-10-2023,KA Maharaj,South Africa,28,38.66666667,4.375149343,1
22-10-2023,JJ Bumrah,India,14.625,24.9375,3.502002092,1
22-10-2023,Mohammed Siraj,India,27.125,34.375,6.155873192,1
22-10-2023,Mohammed Shami,India,0,0,0,6
22-10-2023,RA Jadeja,India,15,24.875,3.904367001,0
22-10-2023,Kuldeep Yadav,India,31.375,45.25,4.080737705,2
22-10-2023,TA Boult,New Zealand,28.5,40.75,3.947683785,2
22-10-2023,MJ Henry,New Zealand,18.58333333,24.375,4.602700096,1
22-10-2023,MJ Santner,New Zealand,18.575,29.54166667,4.404516917,1
22-10-2023,LH Ferguson,New Zealand,7.555555556,11.88888889,3.78997093,2
22-10-2023,R Ravindra,New Zealand,54.25,52.875,6.052576112,0
22-10-2023,GD Phillips,New Zealand,10,10.33333333,5.317982456,0
23-10-2023,Naveen-ul-Haq,Afghanistan,33.75,33.25,6.550112613,2
23-10-2023,Mujeeb Ur Rahman,Afghanistan,18.5,20.33333333,5.680947789,0
23-10-2023,Mohammad Nabi,Afghanistan,2.666666667,6.166666667,4.722128378,1
23-10-2023,Azmatullah Omarzai,Afghanistan,13.75,14.375,6.743488372,1
23-10-2023,Rashid Khan,Afghanistan,21.08333333,26.375,5.122850329,0
23-10-2023,Noor Ahmad,Afghanistan,0,0,0,3
23-10-2023,Shaheen Shah Afridi,Pakistan,33.525,33.275,5.875074638,1
23-10-2023,Hasan Ali,Pakistan,22.83333333,25,5.944959506,1
23-10-2023,Haris Rauf,Pakistan,24.45833333,22.6875,7.017222873,0
23-10-2023,Usama Mir,Pakistan,82,56,8.785714286,0
23-10-2023,Shadab Khan,Pakistan,50,48.5,6.711734694,0
23-10-2023,Iftikhar Ahmed,Pakistan,16,18,5.097777778,0
24-10-2023,Mustafizur Rahman,Bangladesh,24.66666667,36.5,5.258823529,0
24-10-2023,Mehedi Hasan Miraz,Bangladesh,12.125,21.375,5.711040735,1
24-10-2023,Shoriful Islam,Bangladesh,21.16666667,20.16666667,6.121352459,1
24-10-2023,Shakib Al Hasan,Bangladesh,38.66666667,45.66666667,4.754918033,1
24-10-2023,Hasan Mahmud,Bangladesh,65,51,7.647058824,2
24-10-2023,Nasum Ahmed,Bangladesh,0,0,6.315789474,0
24-10-2023,Mahmudullah,Bangladesh,0,0,6.5,0
24-10-2023,M Jansen,South Africa,26.75,24.25,6.603642111,2
24-10-2023,LB Williams,South Africa,0,0,0,2
24-10-2023,G Coetzee,South Africa,31.66666667,25.55555556,7.832727273,3
24-10-2023,K Rabada,South Africa,26.45833333,26.79166667,5.685846373,2
24-10-2023,KA Maharaj,South Africa,27.75,32,6.656362007,1
25-10-2023,A Dutt,Netherlands,33.625,39.85416667,4.797170809,1
25-10-2023,CN Ackermann,Netherlands,20.25,25,5.472083333,0
25-10-2023,LV van Beek,Netherlands,25.16666667,27.66666667,5.73980344,4
25-10-2023,PA van Meekeren,Netherlands,33.875,35.375,5.771419601,0
25-10-2023,Vikramjit Singh,Netherlands,0,0,8.5,0
25-10-2023,RE van der Merwe,Netherlands,15,18,5.214004914,1
25-10-2023,BFW de Leede,Netherlands,32.5,33.75,6.418810978,2
25-10-2023,MA Starc,Australia,34.58333333,38.45833333,5.227271799,1
25-10-2023,JR Hazlewood,Australia,39,43.5,5.019468558,2
25-10-2023,PJ Cummins,Australia,29.625,24.5,6.463501292,1
25-10-2023,MR Marsh,Australia,0,0,6,2
25-10-2023,A Zampa,Australia,23.875,22.1875,6.140020492,4
26-10-2023,D Madushanka,Sri Lanka,23.91666667,23.05833333,5.787089785,0
26-10-2023,CAK Rajitha,Sri Lanka,51.25,38.5,6.85483871,2
26-10-2023,M Theekshana,Sri Lanka,50.66666667,55,5.687114402,3
26-10-2023,AD Mathews,Sri Lanka,0,0,0,2
26-10-2023,CBRLS Kumara,Sri Lanka,0,0,11.75,3
26-10-2023,DM de Silva,Sri Lanka,0,0,6.395555556,0
26-10-2023,CR Woakes,England,12.25,12,7.695512821,0
26-10-2023,DJ Willey,England,0,0,6.517241379,2
26-10-2023,AU Rashid,England,20.875,26.3125,5.3470726,0
26-10-2023,MA Wood,England,18,29.33333333,7.449340477,0
26-10-2023,LS Livingstone,England,15.33333333,26,5.655555556,0
26-10-2023,MM Ali,England,0,0,6.428571429,0
27-10-2023,M Jansen,South Africa,25.3,24.7,6.165932557,3
27-10-2023,L Ngidi,South Africa,29.25,36.5,4.969562335,1
27-10-2023,AK Markram,South Africa,0,0,0,0
27-10-2023,KA Maharaj,South Africa,28.6,37.8,5.954597802,0
27-10-2023,G Coetzee,South Africa,28.91666667,24.33333333,7.374545455,2
27-10-2023,T Shamsi,South Africa,19,23.5,4.85106383,4
27-10-2023,Iftikhar Ahmed,Pakistan,16,18,5.173333333,0
27-10-2023,Shaheen Shah Afridi,Pakistan,38.42,39.02,5.822640356,3
27-10-2023,Mohammad Nawaz,Pakistan,39.75,37.5,5.802987862,0
27-10-2023,Haris Rauf,Pakistan,24.45833333,22.6875,6.860837122,2
27-10-2023,Mohammad Wasim,Pakistan,0,0,0,2
27-10-2023,Usama Mir,Pakistan,82,56,7.628151261,2
28-10-2023,MJ Henry,New Zealand,25.86666667,30.3,4.904382299,1
28-10-2023,TA Boult,New Zealand,28.8,38.7,4.338474897,3
28-10-2023,LH Ferguson,New Zealand,13.66666667,15.16666667,4.762478198,0
28-10-2023,MJ Santner,New Zealand,22.26,35.63333333,4.263613533,2
28-10-2023,GD Phillips,New Zealand,10,10.33333333,5.454385965,3
28-10-2023,R Ravindra,New Zealand,54.25,52.875,5.845697254,0
28-10-2023,JDS Neesham,New Zealand,0,0,7.636363636,1
28-10-2023,MA Starc,Australia,32.06666667,35.96666667,5.197202054,1
28-10-2023,JR Hazlewood,Australia,33.9,38.6,4.868206426,2
28-10-2023,PJ Cummins,Australia,26.5,24.4,5.870801034,2
28-10-2023,GJ Maxwell,Australia,18.16666667,29.66666667,4.834920745,1
28-10-2023,A Zampa,Australia,19.5,18.65,5.445349727,3
28-10-2023,MR Marsh,Australia,4.75,6.75,5.111111111,0
28-10-2023,Shoriful Islam,Bangladesh,32.33333333,26.93333333,6.608193078,2
28-10-2023,Taskin Ahmed,Bangladesh,36,37.5,6.070287005,2
28-10-2023,Shakib Al Hasan,Bangladesh,46.25,48,5.448006706,1
28-10-2023,Mehedi Hasan Miraz,Bangladesh,18.5,28.3,5.511689731,0
28-10-2023,Mustafizur Rahman,Bangladesh,24.66666667,36.5,5.878487395,2
28-10-2023,Mahedi Hasan,Bangladesh,17.75,12,8.875,3
28-10-2023,A Dutt,Netherlands,38.7,40.28333333,5.523450933,1
28-10-2023,LV van Beek,Netherlands,23.5,24.8125,6.012544888,1
28-10-2023,CN Ackermann,Netherlands,20.25,25,5.327666667,2
28-10-2023,PA van Meekeren,Netherlands,33.875,35.375,5.8361833,4
28-10-2023,BFW de Leede,Netherlands,37.5,33.2,7.360855234,2
